Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
50,250	-0,021	-0,003
50,300	-0,020	0,003
50,350	-0,021	0,004
50,400	-0,020	0,005
50,450	-0,021	0,004
50,500	-0,020	0,004
50,550	-0,021	0,004
50,600	-0,020	0,004
50,650	-0,021	0,004
50,700	-0,020	0,004
50,750	-0,021	0,004
50,800	-0,020	0,004
50,850	-0,021	0,004
50,900	-0,020	0,004
50,950	-0,021	0,004
51,000	-0,020	0,011
51,050	-0,020	0,022
51,100	-0,020	0,025
51,150	-0,020	0,033
51,200	-0,020	0,062
51,250	-0,021	0,094
51,300	-0,020	0,109
51,350	-0,021	0,114
51,400	-0,020	0,145
51,450	-0,020	0,174
51,500	-0,020	0,200
51,550	-0,021	0,205
51,600	-0,020	0,211
51,650	-0,021	0,237
51,700	-0,020	0,281
51,750	-0,020	0,315
51,800	-0,020	0,330
51,850	-0,021	0,353
51,900	-0,020	0,381
51,950	-0,020	0,404
52,000	-0,020	0,419
52,050	-0,020	0,439
52,100	-0,020	0,481
52,150	-0,020	0,506
52,200	-0,020	0,545
52,250	-0,020	0,592
52,300	-0,020	0,634
52,350	-0,020	0,658
52,400	-0,020	0,658
52,450	-0,020	0,667
52,500	-0,019	0,676
52,550	-0,020	0,692
52,600	-0,019	0,710
52,650	-0,020	0,726
52,700	-0,019	0,742
52,750	-0,020	0,749
52,800	-0,020	0,766
52,850	-0,020	0,782
52,900	-0,019	0,798
52,950	-0,020	0,820
53,000	-0,020	0,853
53,050	-0,020	0,886
53,100	-0,019	0,911
53,150	-0,020	0,944
53,200	-0,019	0,967
53,250	-0,019	0,982
53,300	-0,019	0,983
53,350	-0,019	0,988
53,400	-0,019	0,991
53,450	-0,019	0,990
53,500	-0,019	0,990
53,550	-0,019	0,990
53,600	-0,019	0,991
53,650	-0,019	1,005
53,700	-0,019	1,045
53,750	-0,019	1,091
53,800	-0,019	1,117
53,850	-0,019	1,129
53,900	-0,019	1,192
53,950	-0,019	1,292
54,000	-0,019	1,391
54,050	-0,019	1,435
54,100	-0,019	1,482
54,150	-0,019	1,562
54,200	-0,019	1,635
54,250	-0,018	1,647
54,300	-0,019	1,702
54,350	-0,019	1,762
54,400	-0,018	1,795
54,450	-0,018	1,834
54,500	-0,018	1,893
54,550	-0,018	1,943
54,600	-0,018	1,969
54,650	-0,018	1,972
54,700	-0,018	1,984
54,750	-0,018	2,008
54,800	-0,018	2,028
54,850	-0,018	2,038
54,900	-0,018	2,044
54,950	-0,018	2,062
55,000	-0,018	2,063
55,050	-0,018	2,062
55,100	-0,018	2,063
55,150	-0,018	2,062
55,200	-0,018	2,062
55,250	-0,018	2,062
55,300	-0,018	2,062
55,350	-0,018	2,062
55,400	-0,018	2,134
55,450	-0,018	2,216
55,500	-0,018	2,293
55,550	-0,018	2,377
55,600	-0,018	2,441
55,650	-0,017	2,505
55,700	-0,018	2,569
55,750	-0,018	2,632
55,800	-0,018	2,680
55,850	-0,017	2,725
55,900	-0,018	2,756
55,950	-0,017	2,800
56,000	-0,017	2,863
56,050	-0,017	2,938
56,100	-0,017	3,007
56,150	-0,017	3,057
56,200	-0,017	3,107
56,250	-0,017	3,165
56,300	-0,017	3,217
56,350	-0,017	3,246
56,400	-0,017	3,278
56,450	-0,017	3,293
56,500	-0,017	3,304
56,550	-0,017	3,325
56,600	-0,017	3,327
56,650	-0,017	3,341
56,700	-0,017	3,352
56,750	-0,016	3,352
56,800	-0,017	3,350
56,850	-0,017	3,344
56,900	-0,017	3,344
56,950	-0,016	3,344
57,000	-0,017	3,344
57,050	-0,017	3,343
57,100	-0,017	3,345
57,150	-0,016	3,395
57,200	-0,017	3,473
57,250	-0,016	3,554
57,300	-0,017	3,608
57,350	-0,016	3,685
57,400	-0,016	3,765
57,450	-0,016	3,796
57,500	-0,016	3,811
57,550	-0,016	3,854
57,600	-0,017	3,885
57,650	-0,015	3,897
57,700	-0,016	3,918
57,750	-0,016	3,947
57,800	-0,016	4,003
57,850	-0,016	4,059
57,900	-0,016	4,097
57,950	-0,016	4,133
58,000	-0,016	4,182
58,050	-0,015	4,236
58,100	-0,016	4,277
58,150	-0,016	4,278
58,200	-0,016	4,278
58,250	-0,015	4,279
58,300	-0,016	4,316
58,350	-0,015	4,402
58,400	-0,016	4,544
58,450	-0,015	4,725
58,500	-0,015	4,775
58,550	-0,015	4,777
58,600	-0,016	4,776
58,650	-0,015	4,776
58,700	-0,016	4,777
58,750	-0,015	4,777
58,800	-0,016	4,777
58,850	-0,015	4,777
58,900	-0,016	4,777
58,950	-0,014	4,777
59,000	-0,015	4,805
59,050	-0,015	4,870
59,100	-0,015	4,945
59,150	-0,015	5,019
59,200	-0,015	5,075
59,250	-0,015	5,139
59,300	-0,015	5,210
59,350	-0,014	5,285
59,400	-0,015	5,352
59,450	-0,014	5,412
59,500	-0,015	5,461
59,550	-0,014	5,521
59,600	-0,015	5,559
59,650	-0,014	5,612
59,700	-0,014	5,667
59,750	-0,014	5,719
59,800	-0,014	5,780
59,850	-0,014	5,843
59,900	-0,014	5,912
59,950	-0,013	5,974
60,000	-0,014	6,016
60,050	-0,013	6,058
60,100	-0,014	6,106
60,150	-0,013	6,162
60,200	-0,014	6,202
60,250	-0,013	6,246
60,300	-0,014	6,256
60,350	-0,013	6,255
60,400	-0,014	6,255
60,450	-0,013	6,256
60,500	-0,014	6,256
60,550	-0,013	6,256
60,600	-0,014	6,256
60,650	-0,013	6,255
60,700	-0,014	6,261
60,750	-0,013	6,319
60,800	-0,014	6,398
60,850	-0,013	6,465
60,900	-0,014	6,527
60,950	-0,013	6,558
61,000	-0,013	6,613
61,050	-0,012	6,673
61,100	-0,014	6,711
61,150	-0,012	6,729
61,200	-0,013	6,738
61,250	-0,012	6,742
61,300	-0,014	6,744
61,350	-0,013	6,745
61,400	-0,014	6,746
61,450	-0,013	6,746
61,500	-0,013	6,747
61,550	-0,012	6,747
61,600	-0,013	6,748
61,650	-0,012	6,747
61,700	-0,013	6,748
61,750	-0,013	6,747
61,800	-0,014	6,748
61,850	-0,013	6,748
61,900	-0,014	6,748
61,950	-0,012	6,748
62,000	-0,014	6,749
62,050	-0,012	6,748
62,100	-0,013	6,749
62,150	-0,013	6,748
62,200	-0,014	6,749
62,250	-0,012	6,749
62,300	-0,014	6,749
62,350	-0,012	6,749
62,400	-0,014	6,749
62,450	-0,012	6,749
62,500	-0,014	6,749
62,550	-0,013	6,749
62,600	-0,014	6,749
62,650	-0,013	6,749
62,700	-0,014	6,749
62,750	-0,013	6,748
62,800	-0,014	6,749
62,850	-0,013	6,749
62,900	-0,014	6,750
62,950	-0,012	6,750
63,000	-0,014	6,751
63,050	-0,013	6,750
63,100	-0,014	6,751
63,150	-0,013	6,751
63,200	-0,014	6,751
63,250	-0,013	6,751
63,300	-0,014	6,752
