Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
12,050	-0,008	3,547
12,100	-0,009	3,530
12,150	-0,008	3,518
12,200	-0,009	3,502
12,250	-0,008	3,488
12,300	-0,009	3,473
12,350	-0,008	3,463
12,400	-0,009	3,460
12,450	-0,008	3,461
12,500	-0,009	3,460
12,550	-0,008	3,460
12,600	-0,009	3,461
12,650	-0,008	3,460
12,700	-0,009	3,461
12,750	-0,008	3,460
12,800	-0,009	3,452
12,850	-0,008	3,405
12,900	-0,009	3,327
12,950	-0,008	3,281
13,000	-0,010	3,222
13,050	-0,008	3,197
13,100	-0,009	3,168
13,150	-0,008	3,134
13,200	-0,009	3,115
13,250	-0,009	3,070
13,300	-0,009	3,036
13,350	-0,009	2,980
13,400	-0,009	2,946
13,450	-0,009	2,907
13,500	-0,010	2,893
13,550	-0,009	2,875
13,600	-0,010	2,858
13,650	-0,009	2,834
13,700	-0,010	2,794
13,750	-0,009	2,759
13,800	-0,010	2,732
13,850	-0,009	2,705
13,900	-0,010	2,672
13,950	-0,009	2,640
14,000	-0,010	2,608
14,050	-0,010	2,597
14,100	-0,010	2,597
14,150	-0,009	2,597
14,200	-0,011	2,597
14,250	-0,009	2,597
14,300	-0,011	2,597
14,350	-0,010	2,597
14,400	-0,011	2,597
14,450	-0,009	2,594
14,500	-0,011	2,537
14,550	-0,010	2,471
14,600	-0,011	2,411
14,650	-0,010	2,378
14,700	-0,011	2,343
14,750	-0,010	2,287
14,800	-0,011	2,254
14,850	-0,010	2,194
14,900	-0,011	2,165
14,950	-0,010	2,131
15,000	-0,011	2,100
15,050	-0,010	2,092
15,100	-0,011	2,066
15,150	-0,010	2,030
15,200	-0,012	2,018
15,250	-0,011	1,983
15,300	-0,012	1,955
15,350	-0,011	1,921
15,400	-0,012	1,895
15,450	-0,010	1,872
15,500	-0,012	1,850
15,550	-0,010	1,828
15,600	-0,012	1,807
15,650	-0,011	1,789
15,700	-0,012	1,789
15,750	-0,011	1,789
15,800	-0,012	1,789
15,850	-0,011	1,789
15,900	-0,012	1,789
15,950	-0,011	1,789
16,000	-0,012	1,788
16,050	-0,011	1,788
16,100	-0,012	1,770
16,150	-0,011	1,750
16,200	-0,012	1,715
16,250	-0,011	1,700
16,300	-0,012	1,687
16,350	-0,011	1,650
16,400	-0,012	1,624
16,450	-0,011	1,571
16,500	-0,012	1,536
16,550	-0,011	1,489
16,600	-0,013	1,460
16,650	-0,011	1,424
16,700	-0,013	1,403
16,750	-0,011	1,384
16,800	-0,013	1,356
16,850	-0,012	1,338
16,900	-0,013	1,309
16,950	-0,012	1,262
17,000	-0,013	1,223
17,050	-0,012	1,178
17,100	-0,013	1,139
17,150	-0,012	1,106
17,200	-0,013	1,069
17,250	-0,012	1,036
17,300	-0,014	0,986
17,350	-0,012	0,945
17,400	-0,014	0,933
17,450	-0,012	0,933
17,500	-0,013	0,932
17,550	-0,013	0,932
17,600	-0,014	0,932
17,650	-0,012	0,932
17,700	-0,014	0,932
17,750	-0,012	0,928
17,800	-0,013	0,892
17,850	-0,012	0,851
17,900	-0,014	0,826
17,950	-0,013	0,810
18,000	-0,014	0,785
18,050	-0,013	0,740
18,100	-0,014	0,705
18,150	-0,013	0,619
18,200	-0,014	0,569
18,250	-0,013	0,518
18,300	-0,014	0,469
18,350	-0,013	0,431
18,400	-0,015	0,393
18,450	-0,013	0,383
18,500	-0,014	0,367
18,550	-0,013	0,351
18,600	-0,014	0,314
18,650	-0,014	0,269
18,700	-0,015	0,233
18,750	-0,014	0,201
18,800	-0,015	0,164
