Datum und Zeit Messreihe #1	Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Stromsonde (PS-2184), Ch A (A) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Stromsonde (PS-2184), Ch B (A) Messreihe #1
15.01.2026 14:34:41	0,000	-0,075	-0,7529	5,747E-4	0,0057
15.01.2026 14:34:41	0,050	-0,075	-0,7526	1,890E-4	0,0019
15.01.2026 14:34:41	0,100	-0,075	-0,7516	5,637E-4	0,0056
15.01.2026 14:34:41	0,150	-0,075	-0,7505	5,356E-4	0,0054
15.01.2026 14:34:41	0,200	-0,075	-0,7515	6,370E-4	0,0064
15.01.2026 14:34:41	0,250	-0,075	-0,7516	2,549E-4	0,0025
15.01.2026 14:34:41	0,300	-0,075	-0,7514	7,542E-4	0,0075
15.01.2026 14:34:41	0,350	-0,075	-0,7516	3,574E-4	0,0036
15.01.2026 14:34:41	0,400	-0,075	-0,7531	6,272E-4	0,0063
15.01.2026 14:34:41	0,450	-0,075	-0,7518	3,013E-4	0,0030
15.01.2026 14:34:41	0,500	-0,075	-0,7516	7,200E-4	0,0072
15.01.2026 14:34:41	0,550	-0,075	-0,7543	8,765E-5	8,7646E-4
15.01.2026 14:34:41	0,600	-0,075	-0,7513	6,455E-4	0,0065
15.01.2026 14:34:41	0,650	-0,075	-0,7532	1,841E-4	0,0018
15.01.2026 14:34:41	0,700	-0,075	-0,7521	6,443E-4	0,0064
15.01.2026 14:34:41	0,750	-0,075	-0,7514	3,367E-4	0,0034
15.01.2026 14:34:41	0,800	-0,075	-0,7493	8,616E-4	0,0086
15.01.2026 14:34:41	0,850	-0,075	-0,7517	4,099E-4	0,0041
15.01.2026 14:34:41	0,900	-0,075	-0,7503	8,091E-4	0,0081
15.01.2026 14:34:41	0,950	-0,075	-0,7535	1,572E-4	0,0016
15.01.2026 14:34:42	1,000	-0,075	-0,7480	0,001	0,0105
15.01.2026 14:34:42	1,050	-0,075	-0,7520	3,245E-4	0,0032
15.01.2026 14:34:42	1,100	-0,075	-0,7547	4,063E-4	0,0041
15.01.2026 14:34:42	1,150	-0,075	-0,7515	4,929E-4	0,0049
15.01.2026 14:34:42	1,200	-0,075	-0,7517	7,493E-4	0,0075
15.01.2026 14:34:42	1,250	-0,075	-0,7510	4,917E-4	0,0049
15.01.2026 14:34:42	1,300	-0,075	-0,7513	7,114E-4	0,0071
15.01.2026 14:34:42	1,350	-0,075	-0,7524	2,573E-4	0,0026
15.01.2026 14:34:42	1,400	-0,075	-0,7510	8,311E-4	0,0083
15.01.2026 14:34:42	1,450	-0,075	-0,7536	1,853E-4	0,0019
15.01.2026 14:34:42	1,500	-0,075	-0,7522	6,235E-4	0,0062
15.01.2026 14:34:42	1,550	-0,075	-0,7511	4,429E-4	0,0044
15.01.2026 14:34:42	1,600	-0,075	-0,7519	7,236E-4	0,0072
15.01.2026 14:34:42	1,650	-0,075	-0,7526	2,427E-4	0,0024
15.01.2026 14:34:42	1,700	-0,075	-0,7500	9,128E-4	0,0091
15.01.2026 14:34:42	1,750	-0,075	-0,7495	6,602E-4	0,0066
15.01.2026 14:34:42	1,800	-0,075	-0,7509	7,676E-4	0,0077
15.01.2026 14:34:42	1,850	-0,075	-0,7500	5,039E-4	0,0050
15.01.2026 14:34:42	1,900	-0,075	-0,7504	8,384E-4	0,0084
15.01.2026 14:34:42	1,950	-0,075	-0,7486	7,297E-4	0,0073
15.01.2026 14:34:43	2,000	-0,075	-0,7514	8,237E-4	0,0082
15.01.2026 14:34:43	2,050	-0,075	-0,7515	3,879E-4	0,0039
15.01.2026 14:34:43	2,100	-0,075	-0,7516	6,980E-4	0,0070
15.01.2026 14:34:43	2,150	-0,075	-0,7544	9,131E-5	9,1309E-4
15.01.2026 14:34:43	2,200	-0,075	-0,7494	9,507E-4	0,0095
15.01.2026 14:34:43	2,250	-0,075	-0,7510	3,574E-4	0,0036
15.01.2026 14:34:43	2,300	-0,075	-0,7508	7,590E-4	0,0076
15.01.2026 14:34:43	2,350	-0,075	-0,7502	5,039E-4	0,0050
15.01.2026 14:34:43	2,400	-0,075	-0,7513	7,102E-4	0,0071
15.01.2026 14:34:43	2,450	-0,075	-0,7532	1,951E-4	0,0020
15.01.2026 14:34:43	2,500	-0,075	-0,7473	0,001	0,0111
15.01.2026 14:34:43	2,550	-0,075	-0,7534	2,122E-4	0,0021
15.01.2026 14:34:43	2,600	-0,075	-0,7529	5,588E-4	0,0056
15.01.2026 14:34:43	2,650	-0,075	-0,7533	1,951E-4	0,0020
15.01.2026 14:34:43	2,700	-0,075	-0,7526	6,345E-4	0,0063
15.01.2026 14:34:43	2,750	-0,075	-0,7492	6,858E-4	0,0069
15.01.2026 14:34:43	2,800	-0,075	-0,7518	7,859E-4	0,0079
15.01.2026 14:34:43	2,850	-0,075	-0,7541	2,256E-4	0,0023
15.01.2026 14:34:43	2,900	-0,075	-0,7530	6,333E-4	0,0063
15.01.2026 14:34:43	2,950	-0,075	-0,7534	1,169E-4	0,0012
15.01.2026 14:34:44	3,000	-0,075	-0,7495	0,001	0,0104
15.01.2026 14:34:44	3,050	-0,075	-0,7520	2,756E-4	0,0028
15.01.2026 14:34:44	3,100	-0,075	-0,7536	5,564E-4	0,0056
15.01.2026 14:34:44	3,150	-0,075	-0,7523	2,244E-4	0,0022
15.01.2026 14:34:44	3,200	-0,072	-0,7209	6,541E-4	0,0065
15.01.2026 14:34:44	3,250	-0,063	-0,6314	6,492E-4	0,0065
15.01.2026 14:34:44	3,300	-0,049	-0,4856	0,001	0,0140
15.01.2026 14:34:44	3,350	-0,023	-0,2312	0,002	0,0175
