Datum und Zeit Messreihe #1	Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Stromsonde (PS-2184), Ch A (A) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Stromsonde (PS-2184), Ch B (A) Messreihe #1
15.01.2026 15:06:00	0,000	-0,040	-0,3969	0,040	0,3980
15.01.2026 15:06:00	0,050	-0,040	-0,3978	0,039	0,3950
15.01.2026 15:06:00	0,100	-0,040	-0,3989	0,040	0,3966
15.01.2026 15:06:00	0,150	-0,040	-0,3966	0,040	0,3968
15.01.2026 15:06:00	0,200	-0,040	-0,3970	0,040	0,3970
15.01.2026 15:06:00	0,250	-0,039	-0,3939	0,040	0,3996
15.01.2026 15:06:00	0,300	-0,040	-0,3961	0,040	0,3992
15.01.2026 15:06:00	0,350	-0,040	-0,3976	0,040	0,3961
15.01.2026 15:06:00	0,400	-0,040	-0,3965	0,040	0,3970
15.01.2026 15:06:00	0,450	-0,040	-0,3992	0,039	0,3936
15.01.2026 15:06:00	0,500	-0,040	-0,4001	0,039	0,3944
15.01.2026 15:06:00	0,550	-0,040	-0,3971	0,040	0,3962
15.01.2026 15:06:00	0,600	-0,040	-0,3983	0,040	0,3974
15.01.2026 15:06:00	0,650	-0,040	-0,3975	0,040	0,3952
15.01.2026 15:06:00	0,700	-0,040	-0,3990	0,040	0,3957
15.01.2026 15:06:00	0,750	-0,039	-0,3936	0,040	0,3992
15.01.2026 15:06:00	0,800	-0,040	-0,3969	0,040	0,3978
15.01.2026 15:06:00	0,850	-0,040	-0,3951	0,040	0,3967
15.01.2026 15:06:00	0,900	-0,039	-0,3944	0,040	0,4006
15.01.2026 15:06:00	0,950	-0,040	-0,3971	0,039	0,3938
15.01.2026 15:06:01	1,000	-0,039	-0,3948	0,040	0,3991
15.01.2026 15:06:01	1,050	-0,040	-0,3954	0,040	0,3955
15.01.2026 15:06:01	1,100	-0,040	-0,3967	0,040	0,3969
15.01.2026 15:06:01	1,150	-0,039	-0,3947	0,040	0,3966
15.01.2026 15:06:01	1,200	-0,040	-0,3968	0,040	0,3971
15.01.2026 15:06:01	1,250	-0,039	-0,3937	0,040	0,3967
15.01.2026 15:06:01	1,300	-0,040	-0,3961	0,040	0,3974
15.01.2026 15:06:01	1,350	-0,039	-0,3943	0,040	0,3962
15.01.2026 15:06:01	1,400	-0,040	-0,3967	0,040	0,3960
15.01.2026 15:06:01	1,450	-0,039	-0,3926	0,040	0,3968
15.01.2026 15:06:01	1,500	-0,040	-0,3960	0,040	0,3968
15.01.2026 15:06:01	1,550	-0,039	-0,3932	0,040	0,3970
15.01.2026 15:06:01	1,600	-0,039	-0,3933	0,040	0,3984
15.01.2026 15:06:01	1,650	-0,039	-0,3925	0,040	0,3974
15.01.2026 15:06:01	1,700	-0,039	-0,3911	0,040	0,4009
15.01.2026 15:06:01	1,750	-0,039	-0,3940	0,040	0,3954
15.01.2026 15:06:01	1,800	-0,039	-0,3928	0,040	0,3986
15.01.2026 15:06:01	1,850	-0,039	-0,3928	0,040	0,3963
15.01.2026 15:06:01	1,900	-0,040	-0,3954	0,040	0,3970
15.01.2026 15:06:01	1,950	-0,040	-0,3963	0,039	0,3936
15.01.2026 15:06:02	2,000	-0,039	-0,3925	0,040	0,4009
15.01.2026 15:06:02	2,050	-0,039	-0,3934	0,040	0,3967
15.01.2026 15:06:02	2,100	-0,039	-0,3927	0,040	0,3983
15.01.2026 15:06:02	2,150	-0,040	-0,3964	0,039	0,3939
15.01.2026 15:06:02	2,200	-0,043	-0,4328	0,040	0,3979
15.01.2026 15:06:02	2,250	-0,051	-0,5054	0,040	0,3975
15.01.2026 15:06:02	2,300	-0,057	-0,5736	0,040	0,3982
15.01.2026 15:06:02	2,350	-0,061	-0,6059	0,040	0,3966
15.01.2026 15:06:02	2,400	-0,062	-0,6189	0,040	0,4003
15.01.2026 15:06:02	2,450	-0,063	-0,6298	0,039	0,3944
15.01.2026 15:06:02	2,500	-0,063	-0,6283	0,040	0,3993
15.01.2026 15:06:02	2,550	-0,063	-0,6319	0,039	0,3940
15.01.2026 15:06:02	2,600	-0,060	-0,5970	0,040	0,3968
15.01.2026 15:06:02	2,650	-0,057	-0,5689	0,040	0,3965
15.01.2026 15:06:02	2,700	-0,055	-0,5548	0,040	0,3986
15.01.2026 15:06:02	2,750	-0,053	-0,5306	0,039	0,3947
15.01.2026 15:06:02	2,800	-0,045	-0,4517	0,040	0,4000
15.01.2026 15:06:02	2,850	-0,036	-0,3589	0,040	0,3971
15.01.2026 15:06:02	2,900	-0,027	-0,2745	0,040	0,4014
15.01.2026 15:06:02	2,950	-0,019	-0,1863	0,040	0,3964
15.01.2026 15:06:03	3,000	-0,011	-0,1149	0,040	0,4013
15.01.2026 15:06:03	3,050	-0,001	-0,0111	0,040	0,3952
