"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,-3.937E-4,-0.001
0.050,-4.303E-4,-0.002
0.100,-1.654E-4,-0.001
0.150,-2.167E-4,-0.002
0.200,-3.180E-4,-0.001
0.250,-1.947E-4,-0.002
0.300,-7.507E-5,-0.001
0.350,-5.951E-4,-0.002
0.400,3.082E-4,-0.001
0.450,0.012,-0.002
0.500,0.013,-0.002
0.550,0.012,-0.002
0.600,0.012,-0.001
0.650,0.012,-0.002
0.700,0.012,-0.001
0.750,0.012,-0.002
0.800,0.013,-0.002
0.850,0.014,-0.002
0.900,0.018,-0.001
0.950,0.016,-0.002
1.000,0.015,-0.001
1.050,0.017,-0.002
1.100,0.016,-0.001
1.150,0.015,-0.002
1.200,0.014,-0.002
1.250,0.014,-0.002
1.300,0.015,-0.001
1.350,0.022,-0.002
1.400,0.044,-8.682E-4
1.450,0.048,-0.002
1.500,0.047,-0.001
1.550,0.046,-0.002
1.600,0.040,-0.001
1.650,0.035,-0.002
1.700,0.035,-0.001
1.750,0.034,-0.002
1.800,0.034,-0.001
1.850,0.034,-0.002
1.900,0.030,-0.001
1.950,0.026,-0.002
2.000,0.020,-0.001
2.050,0.015,-0.002
2.100,0.009,-0.001
2.150,0.003,-0.002
2.200,0.002,-0.001
2.250,0.001,-0.002
2.300,1.178E-4,-0.001
2.350,6.287E-5,-0.002
2.400,-2.411E-4,-0.001
2.450,1.678E-4,-0.001
2.500,5.609E-4,-0.001
2.550,0.001,-0.002
2.600,0.001,-0.001
2.650,0.002,-0.001
2.700,0.002,-0.001
2.750,0.001,-0.002
2.800,0.001,-0.001
2.850,0.001,-0.002
2.900,0.001,-9.915E-4
2.950,0.002,-0.001
3.000,0.001,-9.927E-4
3.050,0.001,-0.002
3.100,0.001,-0.001
3.150,0.001,-0.002
3.200,0.001,-0.001
3.250,0.001,-0.002
3.300,0.002,-0.001
3.350,0.004,-0.002
3.400,0.005,-0.001
3.450,0.004,-0.001
3.500,0.004,-0.001
3.550,0.006,-0.002
3.600,0.009,-0.001
3.650,0.011,-0.002
3.700,0.028,-0.001
3.750,0.051,-0.002
3.800,0.066,-0.001
3.850,0.099,-0.002
3.900,0.138,-7.583E-4
3.950,0.182,-0.002
4.000,0.234,-7.632E-4
4.050,0.265,-0.002
4.100,0.276,-0.001
4.150,0.285,-0.001
4.200,0.299,-5.032E-4
4.250,0.317,-0.001
4.300,0.336,-0.001
4.350,0.344,-0.001
4.400,0.347,-8.572E-4
4.450,0.346,-0.002
4.500,0.349,-9.060E-4
4.550,0.363,-0.001
4.600,0.382,-0.001
4.650,0.410,-0.001
4.700,0.431,-6.655E-4
4.750,0.448,-0.002
4.800,0.467,-7.974E-4
4.850,0.485,-0.002
4.900,0.499,-5.691E-4
4.950,0.500,-0.001
5.000,0.500,-7.400E-4
5.050,0.500,-0.001
5.100,0.500,-9.292E-4
5.150,0.500,-0.001
5.200,0.500,-6.899E-4
5.250,0.500,-0.002
5.300,0.500,-8.950E-4
5.350,0.514,-0.001
5.400,0.542,-6.204E-4
5.450,0.568,-0.001
5.500,0.589,-3.445E-4
5.550,0.623,-0.001
5.600,0.651,-8.279E-4
5.650,0.675,-0.002
5.700,0.701,-7.815E-4
5.750,0.707,-0.002
5.800,0.717,-7.852E-4
5.850,0.728,-0.001
5.900,0.732,-7.314E-4
5.950,0.746,-0.002
6.000,0.749,-7.107E-4
6.050,0.761,-0.001
6.100,0.771,-3.884E-4
6.150,0.780,-0.002
6.200,0.789,-8.877E-4
6.250,0.798,-0.001
6.300,0.807,-6.594E-4
6.350,0.816,-0.001
6.400,0.827,-4.275E-4
6.450,0.841,-0.001
6.500,0.858,-6.338E-4
6.550,0.874,-0.001
6.600,0.881,-6.899E-4
6.650,0.884,-0.001
6.700,0.889,-4.910E-4
6.750,0.894,-0.002
6.800,0.899,-8.437E-4
6.850,0.906,-0.001
6.900,0.912,-7.546E-4
6.950,0.916,-0.001
7.000,0.925,-7.302E-4
7.050,0.932,-0.001
7.100,0.939,-5.593E-4
7.150,0.946,-0.001
7.200,0.952,-8.767E-4
7.250,0.960,-0.001
7.300,0.969,-7.375E-4
7.350,0.981,-0.001
7.400,0.996,-5.605E-4
7.450,1.003,-0.002
7.500,1.017,-6.887E-4
7.550,1.027,-0.001
7.600,1.037,-7.131E-4
7.650,1.044,-0.001
7.700,1.052,-6.655E-4
7.750,1.066,-0.001
7.800,1.080,-4.263E-4
7.850,1.089,-0.001
7.900,1.100,-3.982E-4
7.950,1.112,-0.001
8.000,1.117,-6.472E-4
8.050,1.128,-0.001
8.100,1.143,-4.971E-4
8.150,1.155,-0.001
8.200,1.166,-5.093E-4
8.250,1.181,-0.001
8.300,1.194,-6.094E-4
8.350,1.205,-0.001
8.400,1.216,-4.629E-4
8.450,1.224,-0.001
8.500,1.227,-6.143E-4
8.550,1.239,-0.001
8.600,1.250,-4.666E-4
8.650,1.260,-0.001
8.700,1.264,-5.850E-4
8.750,1.268,-0.002
8.800,1.272,-5.618E-4
8.850,1.277,-0.001
8.900,1.287,-4.141E-4
8.950,1.304,-0.001
9.000,1.323,-4.666E-4
9.050,1.339,-0.001
9.100,1.342,-5.129E-4
9.150,1.343,-0.001
9.200,1.346,-0.001
9.250,1.351,-0.001
